"LogLine","Key","Category","FirstFile","SecondFile","RepositoryDefinitions","DistinctValues","Mods"
"96","dragon_egg_shrykos_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"97","dragon_egg_morghul_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"98","dragon_egg_morning_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"99","dragon_egg_the_last_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"100","dragon_egg_nightfyre_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"101","dragon_egg_cannibal_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"102","dragon_egg_sheepstealer_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"103","dragon_egg_grey_ghost_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"104","dragon_egg_drogon_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"105","dragon_egg_rhaegal_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"106","dragon_egg_viserion_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"107","dragon_egg_serporoth_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"108","dragon_egg_maegor_2_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"109","dragon_egg_maegor_3_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
